2023-08-07 11:48:06.463 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-07 11:48:06.566 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 11:48:06.566 | INFO     | __main__:wrapper:42 - Перемещаем фотографии с cd-карты камеры в папку Client
2023-08-07 11:48:07.819 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 11:48:07.820 | INFO     | __main__:wrapper:42 - Удаляем фон с изображений
2023-08-07 11:48:18.607 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 11:48:18.608 | INFO     | __main__:wrapper:42 - Увеличиваем резкость
2023-08-07 11:48:18.609 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 11:48:18.609 | INFO     | __main__:wrapper:42 - Переименовываем оригиналы
2023-08-07 11:48:18.612 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 12:17:35.537 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-07 12:17:35.707 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 12:17:35.707 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-07 12:17:35.776 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 12:17:35.776 | INFO     | __main__:wrapper:42 - Перемещаем фотографии с cd-карты камеры в папку Client
2023-08-07 12:17:36.175 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 12:17:36.175 | INFO     | __main__:wrapper:42 - Удаляем фон с изображений
2023-08-07 12:17:39.614 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 12:17:39.615 | INFO     | __main__:wrapper:42 - Увеличиваем резкость
2023-08-07 12:17:39.616 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 12:17:39.618 | INFO     | __main__:wrapper:42 - Переименовываем оригиналы
2023-08-07 12:17:39.619 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 12:30:33.105 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-07 12:30:33.150 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 12:30:33.152 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-07 12:30:33.250 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 12:30:33.250 | INFO     | __main__:wrapper:42 - Перемещаем фотографии с cd-карты камеры в папку Client
2023-08-07 12:30:33.572 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 12:30:33.572 | INFO     | __main__:wrapper:42 - Удаляем фон с изображений
2023-08-07 12:30:37.452 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 12:30:37.453 | INFO     | __main__:wrapper:42 - Увеличиваем резкость
2023-08-07 12:30:37.453 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 12:30:37.453 | INFO     | __main__:wrapper:42 - Переименовываем оригиналы
